lon,lat,h,pd
-7.80199123556832,1.46928811606711,17.01875,2.434032
-7.8056689337368,1.5060739217396,16.90871,2.434037
-7.80846742917907,1.53406754133505,17.60541,2.434041
-7.81116958182411,1.56109404322394,17.10637,2.434046
-7.81298301085509,1.57920011460324,16.62769,2.43405
-7.81478160416998,1.5972174985296,17.09813,2.434054
-7.81658970055198,1.61529330977681,17.07835,2.434058
-7.81842978507013,1.63367696597995,16.93626,2.434063
-7.82033966637889,1.65278376349557,17.20734,2.434067
-7.82217692420374,1.67113273410647,10.31246,2.434072
-7.82530288193683,1.70240102491352,16.2207,2.434081
-7.82743008963582,1.72361821169005,16.11478,2.434087
-7.83089909554546,1.7583269942315,16.35675,2.434097
-7.83270811716331,1.77637458634696,16.56371,2.434102
-7.83451207287963,1.79439547133541,16.73871,2.434107
-7.83631853704095,1.81245778880299,16.65697,2.434112
-7.83812792958476,1.83051849561231,16.70006,2.434117
-7.83993313332484,1.84854917095833,16.49925,2.434121
-7.84174103571057,1.86659488905999,16.31351,2.434126
-7.84354613626249,1.88462226666876,15.76737,2.43413
-7.84535472508122,1.90267555151015,15.89326,2.434134
-7.84716461179733,1.92073796533614,16.0526,2.434137
-7.84897166065691,1.93877334708597,15.99697,2.434141
-7.85078065904013,1.95684596735562,16.09986,2.434144
-7.85260508791403,1.97503823504567,16.48046,2.434146
-7.85441542952224,1.99313577918928,15.98981,2.434148
-7.85623874185966,2.01130844891097,15.84374,2.434149
-7.85803612415961,2.02931547088216,16.09011,2.43415
-7.85984976036647,2.0473801034311,15.97196,2.43415
-7.86166049049536,2.06542562108215,15.9354,2.434149
-7.86346949778764,2.08347886818371,16.48578,2.434148
-7.86531100895168,2.10186116403133,16.25878,2.434146
-7.86712284398135,2.11991864552427,16.85428,2.434144
-7.86893028872372,2.13796360174877,16.95828,2.434141
-7.87081111011678,2.15672825368185,16.33721,2.434138
-7.87565869055604,2.2050681643376,16.44967,2.434128
-7.87748939313489,2.22332596768074,16.38647,2.434124
-7.88016482476315,2.25002010968903,16.61362,2.434119
-7.88198944321786,2.26823161369176,16.76294,2.434115
-7.88403656557487,2.28864139924727,17.1982,2.434111
-7.88589826190627,2.30720638859871,16.49838,2.434107
-7.88948325226792,2.3429580571161,16.74473,2.434101
-7.89141706853838,2.36223566474306,17.08304,2.434098
-7.89340727330987,2.38211665468674,17.20181,2.434096
-7.89521568181011,2.40014803324212,16.86868,2.434094
-7.89868526685076,2.43476184729024,16.83396,2.434093
-7.90049361221321,2.4527830888326,17.51688,2.434093
-7.90389484918623,2.48672620422223,17.54149,2.434095
-7.90572195123042,2.50494794730638,17.46459,2.434098
-7.90876072115354,2.53525950622163,16.92124,2.434105
-7.91062448421606,2.55385213926976,17.65952,2.434111
-7.91270645832675,2.57461860705933,17.52188,2.434118
-7.91452545917006,2.59280534283277,17.96879,2.434125
-7.91633380188975,2.61083928488569,17.75198,2.434133
-7.91814792051262,2.62892164555322,17.45261,2.434142
-7.91999042688563,2.64730340035913,18.05915,2.434151
-7.92179794177949,2.66536578126126,18.01056,2.434161
-7.92539355967351,2.70127436729614,17.59976,2.434181
-7.92720389251791,2.71930113667802,17.8835,2.434192
-7.92901029444858,2.73736531995546,17.60813,2.434202
-7.93117310573951,2.75897935607169,17.75809,2.434215
-7.93463648343214,2.79360797489029,17.78824,2.434236
-7.93644884190226,2.81169269300982,17.89007,2.434246
-7.93825497823577,2.82972939277355,18.10209,2.434256
-7.94005664944612,2.8477103762398,18.40137,2.434266
